"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"qs","qs","/usr/local/lib/R/site-library","0.25.1",NA,"R (>= 3.0.2)","Rcpp, RApiSerialize, stringfish (>= 0.15.1)","Rcpp, RApiSerialize, stringfish","knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"quadprog","quadprog","/usr/local/lib/R/site-library","1.5-8",NA,"R (>= 3.1.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"quantreg","quantreg","/usr/local/lib/R/site-library","5.86",NA,"R (>= 2.6), stats, SparseM","methods, graphics, Matrix, MatrixModels, conquer",NA,"tripack, akima, MASS, survival, rgl, logspline, nor1mix,
Formula, zoo, R.rsp",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"qvalue","qvalue","/usr/local/lib/R/site-library","2.26.0",NA,"R(>= 2.10)","splines, ggplot2, grid, reshape2",NA,"knitr",NA,"LGPL",NA,NA,NA,NA,"no","4.1.1"
"R.cache","R.cache","/usr/local/lib/R/site-library","0.15.0",NA,"R (>= 2.14.0)","utils, R.methodsS3 (>= 1.8.1), R.oo (>= 1.24.0), R.utils (>=
2.10.1), digest (>= 0.6.13)",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.1.0"
"R.methodsS3","R.methodsS3","/usr/local/lib/R/site-library","1.8.1",NA,"R (>= 2.13.0)","utils",NA,"codetools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.1.0"
"R.oo","R.oo","/usr/local/lib/R/site-library","1.24.0",NA,"R (>= 2.13.0), R.methodsS3 (>= 1.8.0)","methods, utils",NA,"tools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.1.0"
"R.utils","R.utils","/usr/local/lib/R/site-library","2.11.0",NA,"R (>= 2.14.0), R.oo (>= 1.24.0)","methods, utils, tools, R.methodsS3 (>= 1.8.1)",NA,"digest (>= 0.6.10)",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.1.0"
"R6","R6","/usr/local/lib/R/site-library","2.5.1",NA,"R (>= 3.0)",NA,NA,"testthat, pryr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"ragg","ragg","/usr/local/lib/R/site-library","1.1.3",NA,NA,"systemfonts (>= 1.0.0), textshaping (>= 0.3.0)","systemfonts, textshaping","covr, testthat, grid, graphics",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"ranger","ranger","/usr/local/lib/R/site-library","0.13.1",NA,"R (>= 3.1)","Rcpp (>= 0.11.2), Matrix","Rcpp, RcppEigen","covr, survival, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"RANN","RANN","/usr/local/lib/R/site-library","2.6.1",NA,NA,NA,NA,"testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.1.0"
"RApiSerialize","RApiSerialize","/usr/local/lib/R/site-library","0.1.0",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"rappdirs","rappdirs","/usr/local/lib/R/site-library","0.3.3",NA,"R (>= 3.2)",NA,NA,"roxygen2, testthat (>= 3.0.0), covr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"raster","raster","/usr/local/lib/R/site-library","3.5-2",NA,"sp (>= 1.4.1), R (>= 3.5.0)","Rcpp, methods, terra","Rcpp","rgdal (>= 1.5-8), rgeos (>= 0.3-8), ncdf4, igraph, tcltk,
parallel, rasterVis, MASS, sf, tinytest, gstat, fields,
exactextractr",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.1.0"
"RcisTarget","RcisTarget","/usr/local/lib/R/site-library","1.14.0",NA,"R (>= 3.5.0)","AUCell (>= 1.1.6), BiocGenerics, data.table, feather,
graphics, GenomeInfoDb, GenomicRanges, arrow (>= 2.0.0), dplyr,
tibble, GSEABase, methods, R.utils, stats,
SummarizedExperiment, utils",NA,"Biobase, BiocStyle, BiocParallel, doParallel, DT, foreach,
gplots, rtracklayer, igraph, knitr,
RcisTarget.hg19.motifDBs.cisbpOnly.500bp, rmarkdown, testthat,
visNetwork","doMC, doRNG, zoo","GPL-3",NA,NA,NA,NA,"no","4.1.1"
"rcmdcheck","rcmdcheck","/usr/local/lib/R/site-library","1.4.0",NA,NA,"callr (>= 3.1.1.9000), cli (>= 3.0.0), curl, desc (>= 1.2.0),
digest, pkgbuild, prettyunits, R6, rprojroot, sessioninfo (>=
1.1.1), utils, withr, xopen",NA,"covr, knitr, mockery, processx, ps, rmarkdown, svglite,
testthat, webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"RColorBrewer","RColorBrewer","/usr/local/lib/R/site-library","1.1-2",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"Apache License 2.0",NA,NA,NA,NA,"no","4.1.0"
"Rcpp","Rcpp","/usr/local/lib/R/site-library","1.0.7",NA,NA,"methods, utils",NA,"tinytest, inline, rbenchmark, pkgKitten (>= 0.1.2)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"RcppAnnoy","RcppAnnoy","/usr/local/lib/R/site-library","0.0.19",NA,"R (>= 3.1)","methods, Rcpp","Rcpp","tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"RcppArmadillo","RcppArmadillo","/usr/local/lib/R/site-library","0.10.7.0.0",NA,"R (>= 3.3.0)","Rcpp (>= 0.11.0), stats, utils, methods","Rcpp","tinytest, Matrix (>= 1.3.0), pkgKitten, reticulate, slam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"RcppEigen","RcppEigen","/usr/local/lib/R/site-library","0.3.3.9.1",NA,NA,"Matrix (>= 1.1-0), Rcpp (>= 0.11.0), stats, utils","Rcpp","inline, tinytest, pkgKitten, microbenchmark",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"RcppHNSW","RcppHNSW","/usr/local/lib/R/site-library","0.3.0",NA,NA,"methods, Rcpp (>= 0.11.3)","Rcpp","testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"RcppParallel","RcppParallel","/usr/local/lib/R/site-library","5.1.4",NA,"R (>= 3.0.2)",NA,NA,"Rcpp, RUnit, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"RcppProgress","RcppProgress","/usr/local/lib/R/site-library","0.4.2",NA,NA,NA,NA,"RcppArmadillo, devtools, roxygen2, testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.1.0"
"RcppSpdlog","RcppSpdlog","/usr/local/lib/R/site-library","0.0.6",NA,NA,"Rcpp","Rcpp","knitr, rmarkdown, minidown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"RCurl","RCurl","/usr/local/lib/R/site-library","1.98-1.5",NA,"R (>= 3.4.0), methods","bitops",NA,"XML",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"reactome.db","reactome.db","/usr/local/lib/R/site-library","1.77.0",NA,"R (>= 2.7.0), methods, AnnotationDbi (>= 1.33.0)","methods, AnnotationDbi",NA,"RSQLite",NA,"CC BY 4.0",NA,NA,NA,NA,"no","4.1.1"
"ReactomePA","ReactomePA","/usr/local/lib/R/site-library","1.38.0",NA,"R (>= 3.4.0)","AnnotationDbi, DOSE (>= 3.5.1), enrichplot, ggplot2, ggraph,
reactome.db, igraph, graphite",NA,"BiocStyle, clusterProfiler, knitr, rmarkdown, org.Hs.eg.db,
prettydoc, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.1"
"readr","readr","/usr/local/lib/R/site-library","2.0.2",NA,"R (>= 3.1)","cli, clipr, crayon, hms (>= 0.4.1), methods, rlang, R6,
tibble, vroom (>= 1.5.4), utils, lifecycle (>= 0.2.0)","cpp11, tzdb (>= 0.1.1)","covr, curl, dplyr, knitr, rmarkdown, spelling, stringi,
testthat, tzdb (>= 0.1.1), waldo, withr, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"readxl","readxl","/usr/local/lib/R/site-library","1.3.1",NA,NA,"cellranger, Rcpp (>= 0.12.18), tibble (>= 1.3.1), utils","progress, Rcpp","covr, knitr, rmarkdown, rprojroot (>= 1.1), testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"recipes","recipes","/usr/local/lib/R/site-library","0.1.17",NA,"dplyr, R (>= 3.1)","ellipsis, generics (>= 0.1.0), glue, gower, ipred (>= 0.9-12),
lifecycle, lubridate, magrittr, Matrix, purrr (>= 0.2.3), rlang
(>= 0.4.0), stats, tibble, tidyr (>= 1.0.0), tidyselect (>=
1.1.0), timeDate, utils, vctrs, withr",NA,"covr, ddalpha, dimRed (>= 0.2.2), fastICA, ggplot2, igraph,
kernlab, knitr, modeldata, parsnip (>= 0.1.7), RANN, RcppRoll,
rmarkdown, rpart, rsample, RSpectra, testthat (>= 3.0.0),
workflows, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"rematch","rematch","/usr/local/lib/R/site-library","1.0.1",NA,NA,NA,NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"rematch2","rematch2","/usr/local/lib/R/site-library","2.1.2",NA,NA,"tibble",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"remedy","remedy","/usr/local/lib/R/site-library","0.1.0",NA,NA,"knitr, rstudioapi, rematch2, utils, stats",NA,"testthat, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"remotes","remotes","/usr/local/lib/R/site-library","2.4.1",NA,"R (>= 3.0.0)","methods, stats, tools, utils",NA,"brew, callr, codetools, curl, covr, git2r (>= 0.23.0), knitr,
mockery, pkgbuild (>= 1.0.1), pingr, rmarkdown, rprojroot,
testthat, webfakes, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"renv","renv","/usr/local/lib/R/site-library","0.14.0",NA,NA,"utils",NA,"R6, BiocManager, cli, covr, devtools, knitr, miniUI, packrat,
remotes, reticulate, rmarkdown, rstudioapi, shiny, testthat,
uuid, yaml",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"reprex","reprex","/usr/local/lib/R/site-library","2.0.1",NA,"R (>= 3.3)","callr (>= 3.6.0), cli (>= 2.3.1), clipr (>= 0.4.0), fs, glue,
knitr (>= 1.23), rlang (>= 0.4.0), rmarkdown, rstudioapi,
utils, withr (>= 2.3.0)",NA,"covr, fortunes, miniUI, mockr, rprojroot, sessioninfo, shiny,
spelling, styler (>= 1.2.0), testthat (>= 3.0.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"reshape","reshape","/usr/local/lib/R/site-library","0.8.8",NA,"R (>= 2.6.1)","plyr",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"reshape2","reshape2","/usr/local/lib/R/site-library","1.4.4",NA,"R (>= 3.1)","plyr (>= 1.8.1), Rcpp, stringr","Rcpp","covr, lattice, testthat (>= 0.8.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"ResidualMatrix","ResidualMatrix","/usr/local/lib/R/site-library","1.4.0",NA,NA,"methods, Matrix, S4Vectors, DelayedArray",NA,"testthat, BiocStyle, knitr, rmarkdown, BiocSingular",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.1"
"reticulate","reticulate","/usr/local/lib/R/site-library","1.22",NA,"R (>= 3.0)","Matrix, Rcpp (>= 0.12.7), graphics, here, jsonlite, methods,
png, rappdirs, utils, withr","Rcpp","callr, knitr, rlang, rmarkdown, testthat",NA,"Apache License 2.0",NA,NA,NA,NA,"yes","4.1.0"
"rgdal","rgdal","/usr/local/lib/R/site-library","1.5-27",NA,"R (>= 3.5.0), methods, sp (>= 1.1-0)","grDevices, graphics, stats, utils","sp","knitr, DBI, RSQLite, maptools, mapview, rmarkdown, curl,
rgeos",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"rgeos","rgeos","/usr/local/lib/R/site-library","0.5-8",NA,"R (>= 3.3.0), methods, sp (>= 1.1-0)","utils, stats, graphics","sp","maptools (>= 0.8-5), testthat, XML, maps, rgdal",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"Rgraphviz","Rgraphviz","/usr/local/lib/R/site-library","2.38.0",NA,"R (>= 2.6.0), methods, utils, graph, grid","stats4, graphics, grDevices",NA,"RUnit, BiocGenerics, XML",NA,"EPL",NA,NA,NA,NA,"yes","4.1.1"
"rhdf5","rhdf5","/usr/local/lib/R/site-library","2.38.1",NA,"R (>= 4.0.0), methods","Rhdf5lib (>= 1.13.4), rhdf5filters","Rhdf5lib","bit64, BiocStyle, knitr, rmarkdown, testthat, microbenchmark,
dplyr, ggplot2, mockery",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.1.1"
"rhdf5filters","rhdf5filters","/usr/local/lib/R/site-library","1.6.0",NA,NA,NA,"Rhdf5lib","BiocStyle, knitr, rmarkdown, testthat (>= 2.1.0), rhdf5 (>=
2.34.0)",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"Rhdf5lib","Rhdf5lib","/usr/local/lib/R/site-library","1.16.0",NA,"R (>= 4.0.0)",NA,NA,"BiocStyle, knitr, rmarkdown, tinytest, mockery",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.1.1"
"RhpcBLASctl","RhpcBLASctl","/usr/local/lib/R/site-library","0.21-247",NA,NA,NA,NA,NA,NA,"AGPL-3",NA,NA,NA,NA,"yes","4.1.0"
"rio","rio","/usr/local/lib/R/site-library","0.5.27",NA,"R (>= 2.15.0)","tools, stats, utils, foreign, haven (>= 1.1.2), curl (>= 0.6),
data.table (>= 1.9.8), readxl (>= 0.1.1), openxlsx, tibble",NA,"datasets, bit64, testthat, knitr, magrittr, arrow, clipr,
feather, fst, hexView, jsonlite, pzfx, readODS (>= 1.6.4),
readr, rmarkdown, rmatio, xml2 (>= 1.2.0), yaml",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"riverplot","riverplot","/usr/local/lib/R/site-library","0.10",NA,NA,"methods,RColorBrewer",NA,"knitr,maptools,qpdf,rmarkdown",NA,"GPL (>= 2.0)",NA,NA,NA,NA,"no","4.1.0"
"rjson","rjson","/usr/local/lib/R/site-library","0.2.20",NA,"R (>= 3.1.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"rlang","rlang","/usr/local/lib/R/site-library","0.4.12",NA,"R (>= 3.3.0)","utils",NA,"cli, covr, crayon, glue, magrittr, methods, pak, pillar,
rmarkdown, testthat (>= 3.0.0), vctrs (>= 0.2.3), withr","winch","MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"rliger","rliger","/usr/local/lib/R/site-library","1.0.0",NA,"cowplot, Matrix, methods, patchwork","Rcpp (>= 0.12.10), plyr, FNN, dplyr, grid, ggrepel, irlba,
ica, Rtsne, ggplot2, riverplot, foreach, parallel, doParallel,
mclust, stats, psych, RANN, uwot, rlang, utils, hdf5r,
scattermore (>= 0.7)","Rcpp, RcppArmadillo, RcppEigen, RcppProgress","Seurat, knitr, reticulate, rmarkdown, testthat,
GenomicRanges, S4Vectors, IRanges, org.Hs.eg.db, reactome.db,
fgsea, AnnotationDbi",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"RMariaDB","RMariaDB","/usr/local/lib/R/site-library","1.1.2",NA,"R (>= 2.8.0)","bit64, DBI (>= 1.1.0), hms (>= 0.5.0), lubridate, methods,
Rcpp (>= 0.12.4)","plogr, Rcpp","covr, DBItest (>= 1.7.0), rprojroot, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"rmarkdown","rmarkdown","/usr/local/lib/R/site-library","2.11",NA,"R (>= 3.0)","tools, utils, knitr (>= 1.22), yaml (>= 2.1.19), htmltools (>=
0.3.5), evaluate (>= 0.13), jsonlite, tinytex (>= 0.31), xfun
(>= 0.21), jquerylib, methods, stringr (>= 1.2.0)",NA,"shiny (>= 1.6.0), tufte, testthat (>= 3.0.0), digest,
dygraphs, vctrs, tibble, fs, rsconnect, withr (>= 2.4.2), bslib
(>= 0.2.5.1), sass (>= 0.4.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"rngtools","rngtools","/usr/local/lib/R/site-library","1.5.2",NA,"R (>= 3.2.0), methods","digest, utils, stats, parallel",NA,"covr, RUnit, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"RobustRankAggreg","RobustRankAggreg","/usr/local/lib/R/site-library","1.1",NA,"methods",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"ROCR","ROCR","/usr/local/lib/R/site-library","1.0-11",NA,"R (>= 3.6)","methods, graphics, grDevices, gplots, stats",NA,"testthat, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"roxygen2","roxygen2","/usr/local/lib/R/site-library","7.1.2",NA,"R (>= 3.3)","brew, commonmark, desc (>= 1.2.0), digest, knitr, methods,
pkgload (>= 1.0.2), purrr (>= 0.3.3), R6 (>= 2.1.2), rlang,
stringi, stringr (>= 1.0.0), utils, xml2","cpp11","covr, devtools, rmarkdown, testthat (>= 2.1.0), R.methodsS3,
R.oo",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"RPostgres","RPostgres","/usr/local/lib/R/site-library","1.4.1",NA,"R (>= 3.1.0)","bit64, blob (>= 1.2.0), DBI (>= 1.1.0), hms (>= 1.0.0),
lubridate, methods, Rcpp (>= 1.0.7), withr","plogr (>= 0.2.0), Rcpp","callr, covr, DBItest (>= 1.7.1), knitr, rmarkdown, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"rprojroot","rprojroot","/usr/local/lib/R/site-library","2.0.2",NA,"R (>= 3.0.0)",NA,NA,"covr, knitr, lifecycle, mockr, rmarkdown, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"rsample","rsample","/usr/local/lib/R/site-library","0.1.0",NA,"R (>= 3.2)","dplyr (>= 1.0.0), purrr, tibble, rlang (>= 0.4.10), methods,
generics, tidyselect, furrr, tidyr, vctrs (>= 0.3.0), slider
(>= 0.1.5), ellipsis, lifecycle",NA,"utils, stats, ggplot2, testthat, rmarkdown, knitr, recipes
(>= 0.1.4), broom, xml2, covr, modeldata",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"RSpectra","RSpectra","/usr/local/lib/R/site-library","0.16-0",NA,"R (>= 3.0.2)","Matrix (>= 1.1-0), Rcpp (>= 0.11.5)","Rcpp, RcppEigen (>= 0.3.3.3.0)","knitr, rmarkdown, prettydoc",NA,"MPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"RSQLite","RSQLite","/usr/local/lib/R/site-library","2.2.8",NA,"R (>= 3.1.0)","bit64, blob (>= 1.2.0), DBI (>= 1.1.0), memoise, methods,
pkgconfig, Rcpp (>= 1.0.7)","plogr (>= 0.2.0), Rcpp","DBItest (>= 1.7.0), gert, gh, knitr, rmarkdown, hms, rvest,
testthat, xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"yes","4.1.0"
"rstatix","rstatix","/usr/local/lib/R/site-library","0.7.0",NA,"R (>= 3.3.0)","stats, utils, tidyr (>= 1.0.0), purrr, broom (>= 0.7.4), rlang
(>= 0.3.1), tibble (>= 2.1.3), dplyr (>= 0.7.1), magrittr,
corrplot, tidyselect (>= 1.0.0), car, generics (>= 0.0.2)",NA,"knitr, rmarkdown, ggpubr, graphics, emmeans, coin, boot,
testthat, spelling",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"rstudioapi","rstudioapi","/usr/local/lib/R/site-library","0.13",NA,NA,NA,NA,"testthat, knitr, rmarkdown, clipr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"rsvd","rsvd","/usr/local/lib/R/site-library","1.0.5",NA,"R (>= 4.0.0)","Matrix",NA,"ggplot2, testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.1.0"
"Rtsne","Rtsne","/usr/local/lib/R/site-library","0.15",NA,NA,"Rcpp (>= 0.11.0), stats","Rcpp","irlba, testthat",NA,"file LICENSE","yes",NA,NA,NA,"yes","4.1.0"
"Rttf2pt1","Rttf2pt1","/usr/local/lib/R/site-library","1.3.9",NA,"R (>= 2.15)",NA,NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","4.1.0"
"RVenn","RVenn","/usr/local/lib/R/site-library","1.1.0",NA,NA,"ggforce (>= 0.2.1), ggplot2 (>= 3.0.0), magrittr (>= 1.5),
purrr (>= 0.2.5), methods (>= 3.5.1), rlang (>= 0.2.2), vegan
(>= 2.5.2), pheatmap (>= 1.0.10)",NA,"testthat, knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"rversions","rversions","/usr/local/lib/R/site-library","2.1.1",NA,NA,"curl, utils, xml2 (>= 1.0.0)",NA,"mockery, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"rvest","rvest","/usr/local/lib/R/site-library","1.0.2",NA,"R (>= 3.2)","httr (>= 0.5), lifecycle (>= 1.0.0), magrittr, rlang (>=
0.4.10), selectr, tibble, xml2 (>= 1.3)",NA,"covr, glue, knitr, readr, rmarkdown, repurrrsive, spelling,
stringi (>= 0.3.1), testthat (>= 3.0.2), webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"s2","s2","/usr/local/lib/R/site-library","1.0.7",NA,"R (>= 3.0.0)","Rcpp, wk (>= 0.5.0)","Rcpp, wk","testthat, vctrs",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"yes","4.1.0"
"S4Vectors","S4Vectors","/usr/local/lib/R/site-library","0.32.4",NA,"R (>= 4.0.0), methods, utils, stats, stats4, BiocGenerics (>=
0.37.0)",NA,NA,"IRanges, GenomicRanges, SummarizedExperiment, Matrix,
DelayedArray, ShortRead, graph, data.table, RUnit, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.1.1"
"sass","sass","/usr/local/lib/R/site-library","0.4.0",NA,NA,"fs, rlang (>= 0.4.10), htmltools (>= 0.5.1), R6, rappdirs",NA,"testthat, knitr, rmarkdown, withr, shiny, curl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"ScaledMatrix","ScaledMatrix","/usr/local/lib/R/site-library","1.2.0",NA,NA,"methods, Matrix, S4Vectors, DelayedArray",NA,"testthat, BiocStyle, knitr, rmarkdown, BiocSingular",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.1"
"scales","scales","/usr/local/lib/R/site-library","1.1.1",NA,"R (>= 3.2)","farver (>= 2.0.3), labeling, lifecycle, munsell (>= 0.5), R6,
RColorBrewer, viridisLite",NA,"bit64, covr, dichromat, ggplot2, hms (>= 0.5.0), testthat (>=
2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"scater","scater","/usr/local/lib/R/site-library","1.20.1",NA,"SingleCellExperiment, scuttle, ggplot2","stats, utils, methods, grid, gridExtra, Matrix, BiocGenerics,
S4Vectors, SummarizedExperiment, DelayedArray,
DelayedMatrixStats, beachmat, BiocNeighbors, BiocSingular,
BiocParallel, rlang, ggbeeswarm, viridis, Rtsne, RColorBrewer",NA,"BiocStyle, biomaRt, cowplot, destiny, knitr, scRNAseq,
robustbase, rmarkdown, uwot, NMF, testthat, pheatmap, snifter,
Biobase",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.1"
"scattermore","scattermore","/usr/local/lib/R/site-library","0.7",NA,NA,"ggplot2, scales, grid, grDevices, graphics",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.1.0"
"scatterpie","scatterpie","/usr/local/lib/R/site-library","0.1.7",NA,"R (>= 3.4.0), ggplot2","ggforce, rlang, ggfun, stats, tidyr, utils",NA,"knitr, rmarkdown, prettydoc, maps",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.0"
"scatterplot3d","scatterplot3d","/usr/local/lib/R/site-library","0.3-41",NA,"R (>= 2.7.0)","grDevices, graphics, stats",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"sccore","sccore","/usr/local/lib/R/site-library","1.0.0",NA,"R (>= 3.5.0)","dplyr, ggplot2, ggrepel, graphics, grDevices, igraph, irlba,
magrittr, Matrix, methods, parallel, pbmcapply, pROC, Rcpp,
rlang, scales, tibble, utils, uwot, withr","Rcpp, RcppArmadillo, RcppProgress, RcppEigen","ggrastr (>= 0.1.7), rmumps, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"scico","scico","/usr/local/lib/R/site-library","1.2.0",NA,"R (>= 2.10)","grDevices",NA,"ggplot2, testthat, dplyr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"Scillus","Scillus","/usr/local/lib/R/site-library","0.5.0",NA,"R (>= 3.6)","circlize, ComplexHeatmap, data.table, dplyr, forcats,
formattable, ggplot2, magrittr, patchwork, plyr, purrr,
RColorBrewer, rlang, scales, Seurat, stringr, tibble, tidyr",NA,"clusterProfiler, fgsea, GSVA, org.Hs.eg.db, org.Mm.eg.db,
testthat",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"scPred","scPred","/usr/local/lib/R/site-library","1.9.2",NA,"R (>= 3.5.0)","harmony, SeuratObject, methods, stats, ggbeeswarm, MLmetrics,
caret, kernlab, pROC, ggplot2, knitr, pbapply, cli, crayon",NA,"magrittr, mda",NA,"MIT",NA,NA,NA,NA,"no","4.1.1"
"scRepertoire","scRepertoire","/usr/local/lib/R/site-library","1.4.0",NA,"ggplot2, R (>= 4.0)","stringdist, dplyr, reshape2, ggalluvial, stringr, vegan,
powerTCR, SummarizedExperiment, plyr, parallel, doParallel,
methods, utils, rlang, igraph, SeuratObject",NA,"knitr, rmarkdown, BiocStyle, scater, circlize, scales, Seurat",NA,"Apache License 2.0",NA,NA,NA,NA,"no","4.1.1"
"sctransform","sctransform","/usr/local/lib/R/site-library","0.3.2",NA,"R (>= 3.1.0)","MASS, Matrix, methods, future.apply, future, ggplot2,
reshape2, gridExtra, matrixStats","RcppArmadillo, Rcpp (>= 0.11.0)","irlba, testthat, knitr","glmGamPoi","GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"scuttle","scuttle","/usr/local/lib/R/site-library","1.4.0",NA,"SingleCellExperiment","methods, utils, stats, Matrix, Rcpp, BiocGenerics, S4Vectors,
BiocParallel, GenomicRanges, SummarizedExperiment,
DelayedArray, DelayedMatrixStats, beachmat","Rcpp, beachmat","BiocStyle, knitr, scRNAseq, rmarkdown, testthat, scran",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"segmented","segmented","/usr/local/lib/R/site-library","1.3-4",NA,NA,NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.1.0"
"selectr","selectr","/usr/local/lib/R/site-library","0.4-2",NA,"R (>= 3.0)","methods, stringr, R6",NA,"testthat, XML, xml2",NA,"BSD_3_clause + file LICENCE",NA,NA,NA,NA,"no","4.1.0"
